epoch, batch, loss, iou
5, 35, 4.207813262939453, 0.030114825814962387
10, 35, 3.5313405990600586, 0.037302762269973755 
15, 35, 4.130481719970703, 0.010588467121124268 
20, 35, 4.111154079437256, 0.035977914929389954 
25, 35, 3.9537301063537598, 0.023572687059640884 
30, 35, 2.5565433502197266, 0.23411789536476135 
35, 35, 1.5340852737426758, 0.27293631434440613 
40, 35, 0.8059902191162109, 0.5161446332931519 
45, 35, 0.5805941820144653, 0.5830768942832947 
50, 35, 0.3191702961921692, 0.7616930603981018 
55, 35, 0.28823262453079224, 0.7730578184127808 
60, 35, 0.41129931807518005, 0.7118585705757141 
65, 35, 0.3308667838573456, 0.7172876596450806 
70, 35, 0.2768784165382385, 0.774602472782135 
75, 35, 0.2739865183830261, 0.7608274221420288 
80, 35, 0.3281492292881012, 0.7258867025375366 
85, 35, 0.31204262375831604, 0.7433988451957703 
90, 35, 0.17510761320590973, 0.8396185040473938 
95, 35, 0.19367368519306183, 0.8301626443862915 
100, 35, 0.19945648312568665, 0.8153653144836426 
105, 35, 0.18117648363113403, 0.8588778376579285 
110, 35, 0.18548902869224548, 0.8405164480209351 
115, 35, 0.2601832449436188, 0.7740802764892578 
120, 35, 0.1317463368177414, 0.8755992650985718 
125, 35, 0.19060349464416504, 0.8313757181167603 
130, 35, 0.15533873438835144, 0.8548239469528198 
135, 35, 0.25160253047943115, 0.7629106640815735 
140, 35, 0.23564249277114868, 0.7837051153182983 
145, 35, 0.26637035608291626, 0.7529328465461731 
150, 35, 0.16939391195774078, 0.841978907585144 
155, 35, 0.17424176633358002, 0.835165798664093 
160, 35, 0.1701091229915619, 0.8433014750480652 
165, 35, 0.15656998753547668, 0.8560112714767456 
170, 35, 0.15318582952022552, 0.8578516840934753 
175, 35, 0.20148365199565887, 0.8100395202636719 
180, 35, 0.20180395245552063, 0.80999356508255 
185, 35, 0.22186778485774994, 0.7932643294334412 
190, 35, 0.13014665246009827, 0.8858927488327026 
195, 35, 0.11399943381547928, 0.8944258689880371 
200, 35, 0.24228771030902863, 0.7711316347122192 
205, 35, 0.12369898706674576, 0.887048065662384 
210, 35, 0.13633595407009125, 0.8706365823745728 
215, 35, 0.13174369931221008, 0.8792551159858704 
220, 35, 0.1972796469926834, 0.8150428533554077 
225, 35, 0.12221667170524597, 0.8927372694015503 
230, 35, 0.17997953295707703, 0.8334040641784668 
235, 35, 0.19750089943408966, 0.8189999461174011 
240, 35, 0.11486442387104034, 0.8920302391052246 
245, 35, 0.15267314016819, 0.8544122576713562 
250, 35, 0.18631339073181152, 0.8225153684616089 
255, 35, 0.18256954848766327, 0.8276670575141907 
260, 35, 0.14836545288562775, 0.8648219108581543 
265, 35, 0.08072099089622498, 0.9304496049880981 
270, 35, 0.1194278821349144, 0.888134777545929 
275, 35, 0.19310526549816132, 0.8167621493339539 
280, 35, 0.11974790692329407, 0.8946601152420044 
285, 35, 0.15188603103160858, 0.8554444313049316 
290, 35, 0.156207874417305, 0.8531858325004578 
295, 35, 0.12797480821609497, 0.8798373937606812 
300, 35, 0.12227202951908112, 0.8887019157409668 
305, 35, 0.19255965948104858, 0.8153756260871887 
310, 35, 0.20234611630439758, 0.8110364079475403 
315, 35, 0.13847067952156067, 0.8670638799667358 
320, 35, 0.1396445482969284, 0.8698863983154297 
325, 35, 0.1625160425901413, 0.8453699946403503 
330, 35, 0.17817877233028412, 0.8343695402145386 
335, 35, 0.16162140667438507, 0.8455039858818054 
340, 35, 0.14332929253578186, 0.8641068339347839 
345, 35, 0.14107763767242432, 0.8662115335464478 
350, 35, 0.12914058566093445, 0.8772379159927368 
355, 35, 0.14530296623706818, 0.8631184697151184 
360, 35, 0.11997813731431961, 0.8910942077636719 
365, 35, 0.11728577315807343, 0.8900759816169739 
370, 35, 0.159918874502182, 0.8458811640739441 
375, 35, 0.11011406034231186, 0.8988903760910034 
380, 35, 0.12037720531225204, 0.8878048062324524 
385, 35, 0.14106273651123047, 0.8741588592529297 
390, 35, 0.12760807573795319, 0.8819748759269714 
395, 35, 0.12336688488721848, 0.8859402537345886 
400, 35, 0.16039931774139404, 0.8471697568893433 
405, 35, 0.12471615523099899, 0.8810073137283325 
410, 35, 0.14848002791404724, 0.8562511205673218 
415, 35, 0.10159648209810257, 0.9022265672683716 
420, 35, 0.10735046863555908, 0.8981993794441223 
425, 35, 0.14123573899269104, 0.8690072894096375 
430, 35, 0.10086774826049805, 0.9054129719734192 
435, 35, 0.17811909317970276, 0.8293660283088684 
440, 35, 0.10333315283060074, 0.9033017158508301 
445, 35, 0.14616641402244568, 0.861639678478241 
450, 35, 0.20202086865901947, 0.8071139454841614 
455, 35, 0.1431879699230194, 0.8626448512077332 
460, 35, 0.14732663333415985, 0.862806499004364 
465, 35, 0.15109622478485107, 0.8561088442802429 
470, 35, 0.18197475373744965, 0.8271893262863159 
475, 35, 0.16318164765834808, 0.8430150151252747 
480, 35, 0.1460868865251541, 0.8616141080856323 
